title,eMeasureId,nqfEMeasureId,nqfId,measureId,description,nationalQualityStrategyDomain,measureType,primarySteward,methodsClaims,methodsCertifiedSurveyVendor,methodsElectronicHealthRecord,methodsCmsWebInterface,methodsAdministrativeClaims,methodsRegistry,allergyImmunology,anesthesiology,cardiology,electrophysiologyCardiacSpecialist,gastroenterology,dermatology,emergencyMedicine,familyMedicine,internalMedicine,obstetricsGynecology,ophthalmology,orthopedicSurgery,otolaryngology,pathology,pediatrics,physicalMedicine,plasticSurgery,preventiveMedicine,neurology,mentalBehavioralHealth,diagnosticRadiology,interventionalRadiology,vascularSurgery,generalSurgery,thoracicSurgery,urology,oncology,radiationOncology,hospitalists,rheumatology,nephrology,infectiousDisease,neurosurgical,podiatry,physicalTherapyOccupationalTherapy,geriatrics,urgentCare,skilledNursingFacility,dentistry,metricType,firstPerformanceYear,lastPerformanceYear,eMeasureUuid,isHighPriority,isInverse,numStrataClaims,numStrataRegistry,numStrataEcqm,overallAlgorithm,default,registry,claims,cmsWebInterface,electronicHealthRecord,isIcdImpacted,isClinicalGuidelineChanged
Rh Immunoglobulin (Rhogam) for Rh-Negative Pregnant Women at Risk of Fetal Blood Exposure ,N/A,N/A,N/A,255,Percentage of Rh-negative pregnant women aged 14-50 years at risk of fetal blood exposure who receive Rh- Immunoglobulin (Rhogam) in the emergency department (ED),Effective Clinical Care,Process,American College of Emergency Physicians,X,-,-,-,-,X,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_255_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_255_MedicarePartBClaims.pdf,,,FALSE,FALSE
Rate of Open Repair of Small or Moderate Non-Ruptured Infrarenal Abdominal Aortic Aneurysms (AAA) without Major Complications (Discharged to Home by Post-Operative Day #7),N/A,N/A,N/A,258,Percent of patients undergoing open repair of small or moderate sized non-ruptured infrarenal abdominal aortic aneurysms who do not experience a major complication (discharge to home no later than post-operative day #7),Patient Safety,Outcome,Society for Vascular Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_258_MIPSCQM%20(1).pdf,,,,FALSE,FALSE
Rate of Endovascular Aneurysm Repair (EVAR) of Small or Moderate Non-Ruptured Infrarenal Abdominal Aortic Aneurysms (AAA) without Major Complications (Discharged to Home by Post Operative Day #2),N/A,N/A,N/A,259,Percent of patients undergoing endovascular repair of small or moderate non-ruptured infrarenal abdominal aortic aneurysms (AAA) that do not experience a major complication (discharged to home no later than post-operative day #2),Patient Safety,Outcome,Society for Vascular Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_259_MIPSCQM.pdf,,,,FALSE,FALSE
"Rate of Carotid Endarterectomy (CEA) for Asymptomatic Patients, without Major Complications (Discharged to Home by Post-Operative Day #2)",N/A,N/A,N/A,260,Percent of asymptomatic patients undergoing CEA who are discharged to home no later than post-operative day #2,Patient Safety,Outcome,Society for Vascular Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_260_MIPSCQM.pdf,,,,FALSE,FALSE
Referral for Otologic Evaluation for Patients with Acute or Chronic Dizziness ,N/A,N/A,N/A,261,Percentage of patients aged birth and older referred to a physician (preferably a physician specially trained in disorders of the ear) for an otologic evaluation subsequent to an audiologic evaluation after presenting with acute or chronic dizziness,Communication and Care Coordination,Process,Audiology Quality Consortium,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_261_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_261_MedicarePartBClaims.pdf,,,FALSE,FALSE
 Image Confirmation of Successful Excision of Image-Localized Breast Lesion,N/A,N/A,N/A,262,"Image confirmation of lesion(s) targeted for image guided excisional biopsy or image guided partial mastectomy in patients with nonpalpable, image-detected breast lesion(s). Lesions may include: microcalcifications, mammographic or sonographic mass or architectural distortion, focal suspicious abnormalities on magnetic resonance imaging (MRI) or other breast imaging amenable to localization such as positron emission tomography (PET) mammography, or a biopsy marker demarcating site of confirmed pathology as established by previous core biopsy",Patient Safety,Process,American Society of Breast Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_262_MIPSCQM.pdf,,,,FALSE,FALSE
Sentinel Lymph Node Biopsy for Invasive Breast Cancer,N/A,N/A,N/A,264,"The percentage of clinically node negative (clinical stage T1N0M0 or T2N0M0) breast cancer patients before or after neoadjuvant systemic therapy, who undergo a sentinel lymph node (SLN) procedure",Effective Clinical Care,Process,American Society of Breast Surgeons,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_264_MIPSCQM.pdf,,,,FALSE,FALSE
Biopsy Follow-Up,N/A,N/A,N/A,265,Percentage of new patients whose biopsy results have been reviewed and communicated to the primary care/referring physician and patient,Communication and Care Coordination,Process,American Academy of Dermatology,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_265_MIPSCQM.pdf,,,,FALSE,FALSE
Epilepsy: Counseling for Women of Childbearing Potential with Epilepsy,N/A,N/A,N/A,268,All female patients of childbearing potential (12 - 44 years old) diagnosed with epilepsy who were counseled or referred for counseling for how epilepsy and its treatment may affect contraception OR pregnancy at least once a year,Effective Clinical Care,Process,American Academy of Neurology,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_268_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_268_MedicarePartBClaims.pdf,,,FALSE,FALSE
 Inflammatory Bowel Disease (IBD): Preventive Care: Corticosteroid Related Iatrogenic Injury -   Bone Loss Assessment,N/A,N/A,N/A,271,Percentage of patients regardless of age with an inflammatory bowel disease encounter who were prescribed prednisone equivalents greater than or equal to 10 mg/day for 60 or greater consecutive days or a single prescription equating to 600 mg prednisone or greater for all fills and were documented for risk of bone loss once during the reporting year or the previous calendar year. Individuals who received an assessment for bone loss during the year prior and current year are considered adequately screened to prevent overuse of X-ray assessment,Effective Clinical Care,Process,American Gastroenterological Association,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_271_MIPSCQM.pdf,,,,FALSE,FALSE
 Inflammatory Bowel Disease (IBD): Assessment of Hepatitis B Virus (HBV) Status Before Initiating Anti-TNF (Tumor Necrosis Factor) Therapy,N/A,N/A,N/A,275,Percentage of patients with a diagnosis of inflammatory bowel disease (IBD) who had Hepatitis B Virus (HBV) status assessed and results interpreted prior to initiating anti-TNF (tumor necrosis factor) therapy,Effective Clinical Care,Process,American Gastroenterological Association,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_275_MIPSCQM.pdf,,,,FALSE,FALSE
Sleep Apnea: Severity Assessment at Initial Diagnosis,N/A,N/A,N/A,277,Percentage of patients aged 18 years and older with a diagnosis of obstructive sleep apnea who had an apnea hypopnea index (AHI) or a respiratory disturbance index (RDI) measured at the time of initial diagnosis,Effective Clinical Care,Process,American Academy of Sleep Medicine,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_277_MIPSCQM.pdf,,,,FALSE,FALSE
Sleep Apnea: Assessment of Adherence to Positive Airway Pressure Therapy,N/A,N/A,N/A,279,Percentage of visits for patients aged 18 years and older with a diagnosis of obstructive sleep apnea who were prescribed positive airway pressure therapy who had documentation that adherence to positive airway pressure therapy was objectively measured,Effective Clinical Care,Process,American Academy of Sleep Medicine,-,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_279_MIPSCQM.pdf,,,,FALSE,FALSE
Dementia: Cognitive Assessment,CMS149v7,N/A,2872,281,"Percentage of patients, regardless of age, with a diagnosis of dementia for whom an assessment of cognition is performed and the results reviewed at least once within a 12-month period",Effective Clinical Care,Process,Physician Consortium for Performance Improvement,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms149v7,FALSE,FALSE
Dementia: Functional Status Assessment,N/A,N/A,N/A,282,Percentage of patients with dementia for whom an assessment of functional status was performed at least once in the last 12 months,Effective Clinical Care,Process,American Academy of Neurology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_282_MIPSCQM.pdf,,,,FALSE,FALSE
"Dementia Associated Behavioral and Psychiatric Symptoms Screening and Management 
",N/A,N/A,N/A,283,"Percentage of patients with dementia for whom there was a documented screening for behavioral and psychiatric symptoms, including depression, and for whom, if symptoms screening was positive, there was also documentation of recommendations for management in the last 12 months",Effective Clinical Care,Process,American Academy of Neurology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_283_MIPSCQM.pdf,,,,FALSE,FALSE
Dementia: Safety Concern Screening and Follow-Up for Patients with Dementia,N/A,N/A,N/A,286,"Percentage of patients with dementia or their caregiver(s) for whom there was a documented safety concerns screening in two domains of risk: 1) dangerousness to self or others and 2) environmental risks; and if safety concerns screening was positive in the last 12 months, there was documentation of mitigation recommendations, including but not limited to referral to other resources",Patient Safety,Process,American Academy of Neurology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_286_MIPSCQM.pdf,,,,FALSE,FALSE
Dementia: Education and Support of Caregivers for Patients with Dementia,N/A,N/A,N/A,288,Percentage of patients with dementia whose caregiver(s) were provided with education on dementia disease management and health behavior changes AND were referred to additional resources for support in the last 12 months,Communication and Care Coordination,Process,American Academy of Neurology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_288_MIPSCQM.pdf,,,,FALSE,FALSE
 Parkinson's Disease: Psychiatric Symptoms Assessment for Patients with Parkinson's Disease,N/A,N/A,N/A,290,Percentage of all patients with a diagnosis of Parkinson's Disease [PD] who were assessed for psychiatric symptoms in the past 12 months,Effective Clinical Care,Process,American Academy of Neurology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_290_MIPSCQM.pdf,,,,FALSE,FALSE
Parkinson's Disease: Cognitive Impairment or Dysfunction Assessment for Patients with Parkinson's Disease,N/A,N/A,N/A,291,Percentage of all patients with a diagnosis of Parkinson's Disease [PD] who were assessed for cognitive impairment or dysfunction in the past 12 months,Effective Clinical Care,Process,American Academy of Neurology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_291_MIPSCQM.pdf,,,,FALSE,FALSE
Parkinson's Disease: Rehabilitative Therapy Options,N/A,N/A,N/A,293,"Percentage of all patients with a diagnosis of Parkinson's Disease (or caregiver(s), as appropriate) who had rehabilitative therapy options (i.e., physical, occupational, and speech therapy) discussed in the past 12 months",Communication and Care Coordination,Process,American Academy of Neurology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_293_MIPSCQM.pdf,,,,FALSE,FALSE
Cataracts: Improvement in Patient's Visual Function within 90 Days Following Cataract Surgery,N/A,N/A,N/A,303,"Percentage of patients aged 18 years and older who had cataract surgery and had improvement in visual function achieved within 90 days following the cataract surgery, based on completing a pre-operative and post-operative visual function survey",Person and Caregiver-Centered Experience and Outcomes,Patient Reported Outcome,American Academy of Ophthalmology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_303_MIPSCQM.pdf,,,,FALSE,FALSE
Cataracts: Patient Satisfaction within 90 Days Following Cataract Surgery,N/A,N/A,N/A,304,"Percentage of patients aged 18 years and older who had cataract surgery and were satisfied with their care within 90 days following the cataract surgery, based on completion of the Consumer Assessment of Healthcare Providers and Systems Surgical Care Survey",Person and Caregiver-Centered Experience and Outcomes,Patient Reported Outcome,American Academy of Ophthalmology,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,TRUE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_304_MIPSCQM.pdf,,,,FALSE,FALSE
Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,CMS137v7,N/A,4,305,"Percentage of patients 13 years of age and older with a new episode of alcohol or other drug abuse or (AOD) dependence who received the following. Two rates are reported. 
a. Percentage of patients who initiated treatment within 14 days of the diagnosis 
b. Percentage of patients who initiated treatment and who had two or more additional services with an AOD diagnosis within 30 days of the initiation visit",Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,-,-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,multiPerformanceRate,2017,null,,TRUE,FALSE,,2,,simpleAverage,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms137v7,FALSE,FALSE
Cervical Cancer Screening,CMS124v7,N/A,32,309,"Percentage of women 21-64 years of age who were screened for cervical cancer using either of the following criteria:
*  Women age 21-64 who had cervical cytology performed every 3 years
*  Women age 30-64 who had cervical cytology/human papillomavirus (HPV) co-testing performed every 5 years",Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,X,-,-,-,-,-,-,-,-,-,-,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms124v7,FALSE,FALSE
Chlamydia Screening for Women,CMS153v7,N/A,33,310,Percentage of women 16-24 years of age who were identified as sexually active and who had at least one test for chlamydia during the measurement period,Community/Population Health,Process,National Committee for Quality Assurance,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,,,,https://ecqi.healthit.gov/ecqm/ep/2019/cms153v7,FALSE,FALSE
Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,CMS22v7,N/A,N/A,317,Percentage of patients aged 18 years and older seen during the submitting period who were screened for high blood pressure AND a recommended follow-up plan is documented based on the current blood pressure (BP) reading as indicated,Community/Population Health,Process,Centers for Medicare & Medicaid Services,X,-,X,-,-,X,X,-,X,-,X,X,X,X,X,X,-,X,X,-,-,X,X,X,X,X,-,-,X,X,X,X,X,-,-,X,X,-,-,-,-,-,X,X,-,singlePerformanceRate,2017,null,,FALSE,FALSE,,1,,N/A,,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/CQM-Measures/2019_Measure_317_MIPSCQM.pdf,https://qpp.cms.gov/docs/QPP_quality_measure_specifications/Claims-Registry-Measures/2019_Measure_317_MedicarePartBClaims.pdf,,https://ecqi.healthit.gov/ecqm/ep/2019/cms022v7,FALSE,FALSE
